,id,values,tconst,primaryTitle,averageRating
299,tt0115857,0.015914057668996298,tt0115857,Chain Reaction,5.7
300,tt0479997,0.015907199020599512,tt0479997,Season of the Witch,5.4
301,tt0891527,0.015904614326019532,tt0891527,Lions for Lambs,6.2
302,tt0264464,0.015899638975222223,tt0264464,Catch Me If You Can,8.1
303,tt0295701,0.01588677022671706,tt0295701,xXx,5.9
304,tt0118531,0.015877542684121303,tt0118531,One Eight Seven,6.7
305,tt0457433,0.015875872206744926,tt0457433,Perfect Stranger,5.7
306,tt0086250,0.015842289773295708,tt0086250,Scarface,8.3
307,tt0426883,0.0158211718754754,tt0426883,Alpha Dog,6.9
308,tt0107659,0.015810306030366407,tt0107659,Loaded Weapon 1,6.2
309,tt0102798,0.01577873083107356,tt0102798,Robin Hood: Prince of Thieves,6.9
310,tt0448011,0.015768708636794783,tt0448011,Knowing,6.2
311,tt0102469,0.01573954296018316,tt0102469,Mortal Thoughts,5.7
312,tt0493464,0.01571915358491527,tt0493464,Wanted,6.7
313,tt0317740,0.015701667428506642,tt0317740,The Italian Job,7.0
314,tt0420087,0.01568503496227752,tt0420087,A Prairie Home Companion,6.7
315,tt2209764,0.015683470919730186,tt2209764,Transcendence,6.3
316,tt1502404,0.015673092120218092,tt1502404,Drive Angry,5.4
317,tt5792656,0.015666936977933643,tt5792656,Running with the Devil,5.4
318,tt0416185,0.015642666699030815,tt0416185,Resurrecting the Champ,6.7
319,tt0117791,0.015639652107590912,tt0117791,Surviving Picasso,6.4
320,tt1810697,0.015636025614000865,tt1810697,Meeting Evil,5.3
321,tt0111477,0.015583134484753704,tt0111477,Trapped in Paradise,6.0
322,tt0304328,0.015574353016150072,tt0304328,Levity,6.4
323,tt0986263,0.015537861049018543,tt0986263,Surrogates,6.3
324,tt6294822,0.015527158874352107,tt6294822,The Post,7.2
325,tt0104348,0.015526639129819988,tt0104348,Glengarry Glen Ross,7.7
326,tt5523010,0.015518025869464623,tt5523010,The Nutcracker and the Four Realms,5.5
327,tt1322269,0.015503624296895816,tt1322269,August: Osage County,7.2
328,tt2382396,0.015500812759071756,tt2382396,Joe,6.9
329,tt0372784,0.015498543510888422,tt0372784,Batman Begins,8.2
330,tt0376541,0.015482588042670803,tt0376541,Closer,7.2
331,tt0417217,0.01546120559221876,tt0417217,Two for the Money,6.3
332,tt0327084,0.015433929438816413,tt0327084,Over the Hedge,6.7
